experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu,other
32,2,control,con,15,0,1,0,0,0,0,0
32,3,control,con,15,0,1,0,0,1,0,0
32,4,control,con,15,0,1,1,1,0,0,0
32,5,rvbu,treat,15,0,1,1,1,0,0,0
32,6,rble,treat,15,0,1,1,1,0,0,0
32,7,jawe,treat,15,0,1,1,0,0,1,0
32,8,rwbu,treat,15,0,1,1,0,0,1,0
33,1,control,con,15,0,1,1,0,0,0,1
33,2,control,con,15,0,1,0,0,0,0,0
33,3,control,con,15,0,1,1,1,0,1,0
33,4,control,con,15,0,1,1,0,0,0,0
33,5,rwbu,treat,20,0,1,1,1,0,1,1
33,6,jawe.rble,treat,5,0,1,1,1,1,1,1
33,7,rvbu,treat,15,0,1,1,1,1,1,1
33,8,rble,treat,20,0,1,0,0,0,0,0
34,1,control,con,15,0,0,1,1,0,0,0
34,2,control,con,15,0,0,0,0,0,0,0
34,3,control,con,15,0,0,1,1,0,0,0
34,4,control,con,15,0,0,0,0,0,0,0
34,5,rvbu,treat,15,0,0,1,0,0,0,0
34,6,rble,treat,15,0,0,0,0,0,0,0
34,7,rwbu,treat,15,0,0,1,1,1,0,0
34,8,jawe.rble,treat,15,0,0,1,1,0,0,0
35,1,control,con,15,0,0,0,0,0,0,0
35,2,control,con,15,0,0,0,0,0,0,0
35,3,control,con,15,0,0,0,0,0,0,0
35,4,control,con,15,0,0,0,0,0,0,0
35,5,jawe,treat,15,0,0,1,0,0,0,0
35,6,rwbu,treat,15,0,0,0,0,0,0,0
35,7,rvbu,treat,15,0,0,1,1,0,0,1
35,8,jawe.rble,treat,15,0,0,1,1,0,0,0
36,1,control,con,15,0,1,1,0,0,0,0
36,2,control,con,15,0,1,0,1,0,0,0
36,3,control,con,15,0,1,0,0,0,0,0
36,4,control,con,15,0,1,0,0,0,0,0
36,5,jawe,treat,20,0,1,1,0,0,0,0
36,6,rvbu,treat,5,0,1,0,0,1,0,0
36,7,rwbu,treat,20,0,1,1,0,0,0,0
36,8,rble,treat,15,0,1,0,0,0,0,0
37,1,control,con,15,0,0,0,0,0,0,1
37,2,control,con,15,0,0,0,0,0,0,1
37,3,control,con,15,0,0,0,0,0,0,0
37,4,control,con,15,0,0,0,0,0,0,0
37,5,rvbu,treat,15,0,0,0,0,0,0,0
37,6,jawe,treat,15,0,0,1,0,0,0,0
37,7,jawe.rble,treat,15,0,0,1,0,0,0,1
37,8,rwbu,treat,15,0,0,1,0,0,1,1
38,1,control,con,15,0,1,0,0,0,0,1
38,2,control,con,15,0,1,0,0,0,1,0
38,3,control,con,15,0,1,0,0,0,0,0
38,4,control,con,15,0,1,1,0,0,0,0
38,5,jawe,treat,15,0,1,1,0,0,0,1
38,6,rvbu,treat,15,0,1,1,0,0,0,1
38,7,rble,treat,15,0,1,0,1,1,1,1
38,8,rwbu,treat,15,0,1,1,0,0,0,0
39,1,control,con,15,0,1,1,0,0,0,0
39,2,control,con,15,0,1,0,0,0,0,0
39,3,control,con,15,0,1,0,0,0,0,0
39,4,control,con,15,0,1,0,0,0,0,0
39,5,rvbu,treat,15,0,1,1,1,1,0,1
39,6,jawe,treat,15,0,1,1,0,0,0,0
39,7,rwbu,treat,15,0,1,0,0,0,0,0
39,8,jawe.rble,treat,15,0,1,0,0,0,0,0
40,1,control,con,15,0,0,1,0,0,0,0
40,2,control,con,15,0,0,0,0,0,0,1
40,3,control,con,15,0,0,0,0,0,0,0
40,4,control,con,15,0,0,0,0,0,0,0
40,5,jawe.rble,treat,15,0,0,1,0,0,0,0
40,6,rvbu,treat,15,0,0,1,0,0,0,0
40,7,rwbu,treat,15,0,0,0,0,0,0,0
40,8,jawe.rble,treat,15,0,0,1,1,0,0,0
41,1,control,con,15,0,1,0,0,0,0,0
41,2,control,con,15,0,1,0,0,0,0,1
41,3,control,con,15,0,1,0,0,0,0,1
41,4,control,con,15,0,1,0,0,0,0,0
41,5,rvbu,treat,15,0,1,0,1,0,0,0
41,6,rwbu,treat,15,0,1,0,0,0,0,0
41,7,jawe.rble,treat,15,0,1,1,0,0,1,1
41,8,rwbu,treat,15,0,1,0,0,0,0,0
42,1,control,con,15,0,1,0,0,0,0,0
42,2,control,con,15,0,1,0,0,0,0,0
42,3,control,con,15,0,1,0,0,0,0,1
42,4,control,con,15,0,1,0,0,0,0,0
42,5,rwbu,treat,15,0,1,0,0,0,0,0
42,6,rvbu,treat,15,0,1,1,0,1,0,0
42,7,jawe,treat,15,0,1,1,0,0,0,0
42,8,jawe.rble,treat,15,0,1,1,0,1,0,0
43,1,control,con,15,0,1,0,0,0,0,0
43,2,control,con,15,0,1,0,0,0,0,0
43,3,control,con,15,0,1,0,0,0,0,0
43,4,control,con,15,0,1,0,0,0,0,0
43,5,rwbu,treat,15,0,1,1,0,0,1,1
43,6,jawe,treat,15,0,1,1,0,0,0,0
43,7,rvbu,treat,15,0,1,0,0,0,0,0
43,8,rble,treat,15,0,1,0,0,0,0,0
44,1,control,con,15,0,1,0,0,0,0,0
44,2,control,con,15,0,1,0,1,0,0,0
44,3,control,con,15,0,1,1,0,0,0,1
44,4,control,con,15,0,1,0,0,0,0,0
44,5,jawe,treat,15,0,1,1,0,0,0,0
44,6,rble,treat,15,0,1,1,1,0,0,1
44,7,rvbu,treat,15,0,1,1,0,0,0,0
44,8,rwbu,treat,15,0,1,0,0,0,1,0
45,1,control,con,15,0,1,0,0,1,0,0
45,2,control,con,15,0,1,0,0,0,0,0
45,3,control,con,15,0,1,0,0,0,0,0
45,4,control,con,15,0,1,1,0,0,0,0
45,5,rvbu,treat,15,0,1,0,0,1,0,0
45,6,jawe,treat,15,0,1,0,0,0,0,0
45,7,rwbu,treat,15,0,1,0,0,0,1,1
45,8,jawe.rble,treat,15,0,1,1,0,0,1,1
46,1,control,con,15,0,1,1,0,0,0,1
46,2,control,con,15,0,1,0,1,0,0,0
46,3,control,con,15,0,1,0,0,0,0,0
46,4,control,con,15,0,1,0,0,0,0,0
46,5,rwbu,treat,15,0,1,0,0,0,0,0
46,6,jawe,treat,15,0,1,1,0,0,0,1
46,7,rvbu,treat,15,0,1,0,0,0,0,0
46,8,rble,treat,15,0,1,0,0,0,0,1
47,1,control,con,15,0,1,0,0,0,0,1
47,2,control,con,15,0,1,1,0,0,1,0
47,3,control,con,15,0,1,0,0,0,1,0
47,4,control,con,15,0,1,0,0,0,0,0
47,5,rvbu,treat,15,0,1,1,0,0,1,1
47,6,jawe.rble,treat,15,0,1,1,0,0,0,1
47,7,rwbu,treat,15,0,1,0,0,0,1,0
47,8,jawe,treat,15,0,1,1,0,0,0,1
48,1,control,con,15,0,1,1,1,0,0,0
48,2,control,con,15,0,1,1,0,0,0,0
48,3,control,con,15,0,1,0,0,0,0,0
48,4,control,con,15,0,1,0,0,0,0,0
48,5,rvbu,treat,15,0,1,1,0,0,0,1
48,6,jawe,treat,15,0,1,1,0,0,0,0
48,7,rble,treat,15,0,1,1,1,0,0,0
48,8,rwbu,treat,15,0,1,1,1,0,0,0
49,1,control,con,15,0,1,0,0,0,0,0
49,2,control,con,15,0,1,0,0,0,1,0
49,3,control,con,15,0,1,0,0,0,0,0
49,4,control,con,15,0,1,0,0,0,0,0
49,5,rvbu,treat,15,0,1,1,0,1,1,0
49,6,jawe.rble,treat,15,0,1,0,0,1,0,0
49,7,rwbu,treat,15,0,1,0,0,0,0,0
49,8,jawe,treat,15,0,1,1,0,0,0,0
50,1,control,con,15,0,1,0,0,0,0,0
50,2,control,con,15,0,1,0,0,0,0,1
50,3,control,con,15,0,1,0,0,0,0,0
50,4,control,con,15,0,1,0,0,0,0,0
50,5,rwbu,treat,15,0,1,0,0,0,0,0
50,6,jawe.rble,treat,15,0,1,1,0,0,0,1
50,7,rvbu,treat,15,0,1,0,0,1,0,0
50,8,jawe,treat,15,0,1,1,0,0,0,0
51,1,control,con,15,0,0,1,0,0,0,1
51,2,control,con,15,0,0,0,0,0,0,0
51,3,control,con,15,0,0,0,0,0,1,0
51,4,control,con,15,0,0,0,0,0,0,0
51,5,rwbu,treat,15,0,0,0,0,0,0,0
51,6,jawe.rble,treat,15,0,0,1,1,0,0,1
51,7,rvbu,treat,15,0,0,1,0,0,0,1
51,8,rvbu,treat,15,0,0,0,0,0,0,0
52,1,control,con,15,1,1,0,0,0,0,0
